id,domain_id,number,title,main_group,sub_group,visual_type,visual_link,visual_description,next_step,show_map,last_step,map_from_previous_link,enable_skip,skip_to_step,map_from_beginning_link,value_type,value_hint,unit,default_value,default_from_value,default_to_value,report_description
42,1,,GEN. 03 - PANEL BOARD,GENERATOR 03,OFF MODE,IMAGE,20_generator_01_panel_board,Check generator 03 control panel switch and report whether control panel switch is OK or NOT OK.,43,0,0,,0,,,BOOLEAN,,,,,,Control panel switch off
43,1,,GEN. 03 - BATTERY PACK,GENERATOR 03,OFF MODE,IMAGE,21_generator_01_battery_pack,Check generator 03 battery water level and report whether water level is OK or NOT OK.,44,1,0,43_generator_03_battery_pack,0,,,BOOLEAN,,,,,,Battery water level
44,1,,GEN. 03 - ENGINE OIL LEAKS,GENERATOR 03,OFF MODE,IMAGE,22_generator_01_oil_leaks,Check generator 03 body for oil leaks and report OK if oil leaks not available and NOT OK if oil leaks available.,45,0,0,,0,,,BOOLEAN,,,,,,Engine oil leaks (visual inspection)
45,1,,GEN. 03 - ALTERNATOR BELT TENSION,GENERATOR 03,OFF MODE,IMAGE,23_generator_01_alternator,Check generator 03 alternator for it's belt tension and report whether belt tension is OK or NOT OK.,46,0,0,,0,,,BOOLEAN,,,,,,Alternator belt tension/condition
46,1,,GEN. 03 - ENGINE OIL LEVEL,GENERATOR 03,OFF MODE,VIDEO,24_generator_01_engine_oil_level,Check Generator 03 engine oil level and report oil level is OK or NOT OK.,47,1,0,46_generator_03_engine_oil_level,0,,,BOOLEAN,,,,,,Engine oil level
47,1,,GEN. 03 - AIR FILTER INDICATOR,GENERATOR 03,OFF MODE,IMAGE,25_generator_01_air_filter,Check Generator 03 air filter and report air filter is OK or NOT OK.,48,0,0,,0,,,BOOLEAN,,,,,,Air filter condition
48,1,,GEN. 03 - RADIATOR FAN TENSION,GENERATOR 03,OFF MODE,VIDEO,26_generator_01_radiator_fan_tension,Check Generator 03 radiator for fan tension and report whether fan tension is OK or NOT OK.,49,0,0,,0,,,BOOLEAN,,,,,,Radiator fan tension/condition
49,1,,GEN. 03 - RADIATOR COOLEANT,GENERATOR 03,OFF MODE,IMAGE,50_generator_03_radiator_cooleant,Check Generator 03 radiator coolant level and report whether coolant level is OK or NOT OK.,50,0,0,,0,,,BOOLEAN,,,,,,Radiator cooleant level
50,1,,GEN. 03 - BATTERY VOLTAGE,GENERATOR 03,OFF MODE,VIDEO,29_generator_01_battery_voltage,Check Generator 03 battery voltage and report battery voltage value.,51,1,0,51_generator_03_battery_voltage,0,,,DECIMAL,,V,,24,27,Battery voltage
51,1,,DEISAL TANK,GENERAL CHECKUP,SITE INSPECTION,IMAGE,52_deisal_tank,Check Diesel tank,52,1,0,52_deisal_tank,1,52,,DECIMAL,,l,,3000,20000,Diesel tank
52,1,,GENERATOR 03 - RUN MODE,GENERATOR 03,RUN MODE,IMAGE,19_generator_01_off_mode,Now you are about to inspect the Generator 03 in run mode. Be sure you are currently placed in front of the Generator 03.,53,1,0,53_generator_03_run_mode,1,63,,NONE,,,,,,
53,1,,GEN. 03 - ERROR MESSAGES,GENERATOR 03,RUN MODE,IMAGE,54_generator_03_error_messages,Check generator 03 for error messages.,54,0,0,,0,,,BOOLEAN,,,,,,Error message
54,1,,GEN. 03 - OIL PRESSURE,GENERATOR 03,RUN MODE,VIDEO,55_oil_pressure,Check generator 03 for oil pressure.,55,0,0,,0,,,DECIMAL,,Pa,,20,80,Oil pressure
55,1,,GEN. 03 - OIL TEMPERATURE,GENERATOR 03,RUN MODE,VIDEO,55_oil_pressure,Check generator 03 for oil temperature.,56,0,0,,0,,,DECIMAL,,C,,160,210,Oil Temperature
56,1,,GEN. 03 - COOLEANT TEMPERATURE,GENERATOR 03,RUN MODE,VIDEO,55_oil_pressure,Check generator 03 for coolant temperature.,57,0,0,,0,,,DECIMAL,,C,,170,210,Coolant Temperature
57,1,,GEN. 03 - FREQUENCY,GENERATOR 03,RUN MODE,VIDEO,55_oil_pressure,Check generator 03 frequency.,58,0,0,,0,,,DECIMAL,,Hz,,49.5,50.5,Frequency
58,1,,GEN. 03 - CURRENT,GENERATOR 03,RUN MODE,VIDEO,55_oil_pressure,Check generator 03 current.,59,0,0,,0,,,DECIMAL,,A,,,,Current
59,1,,GEN. 03 - LINE VOLTAGE,GENERATOR 03,RUN MODE,VIDEO,55_oil_pressure,Check generator 03 line voltage.,60,0,0,,0,,,DECIMAL,,V,,380,415,Line voltage
60,1,,GEN. 03 - PHASE VOLTAGE,GENERATOR 03,RUN MODE,VIDEO,55_oil_pressure,Check generator 03 phase voltage.,61,0,0,,0,,,DECIMAL,,V,,220,240,Phase voltage
61,1,,GEN. 03 - NOICE INSPECTION,GENERATOR 03,RUN MODE,NONE,,Inspect generator 03 for noises.,62,0,0,,0,,,BOOLEAN,,,,,,Noice inspection
62,1,,GEN. 03 - GENERAL INSPECTION,GENERATOR 03,RUN MODE,NONE,,Inspect generator 03 for general abnormalities like steam or smoke.,63,0,0,,0,,,BOOLEAN,,,,,,General inspection
63,1,,GENERATOR 02 - RUN MODE,GENERATOR 02,RUN MODE,IMAGE,19_generator_01_off_mode,Now you are about to inspect the Generator 02 in run mode. Be sure you are currently placed in front of the Generator 02.,64,1,0,64_generator_02_run_mode,1,74,,NONE,,,,,,
64,1,,GEN. 02 - ERROR MESSAGES,GENERATOR 02,RUN MODE,IMAGE,54_generator_03_error_messages,Check generator 02 for error messages.,65,0,0,,0,,,BOOLEAN,,,,,,Error message
65,1,,GEN. 02 - OIL PRESSURE,GENERATOR 02,RUN MODE,VIDEO,55_oil_pressure,Check generator 02 for oil pressure.,66,0,0,,0,,,DECIMAL,,Pa,,20,80,Oil pressure
66,1,,GEN. 02 - OIL TEMPERATURE,GENERATOR 02,RUN MODE,VIDEO,55_oil_pressure,Check generator 02 for oil temperature.,67,0,0,,0,,,DECIMAL,,C,,160,210,Oil Temperature
67,1,,GEN. 02 - COOLEANT TEMPERATURE,GENERATOR 02,RUN MODE,VIDEO,55_oil_pressure,Check generator 02 for coolant temperature.,68,0,0,,0,,,DECIMAL,,C,,170,210,Coolant Temperature
68,1,,GEN. 02 - FREQUENCY,GENERATOR 02,RUN MODE,VIDEO,55_oil_pressure,Check generator 02 frequency.,69,0,0,,0,,,DECIMAL,,Hz,,49.5,50.5,Frequency
69,1,,GEN. 02 - CURRENT,GENERATOR 02,RUN MODE,VIDEO,55_oil_pressure,Check generator 02 current.,70,0,0,,0,,,DECIMAL,,A,,0,2700,Current
70,1,,GEN. 02 - LINE VOLTAGE,GENERATOR 02,RUN MODE,VIDEO,55_oil_pressure,Check generator 02 line voltage.,71,0,0,,0,,,DECIMAL,,V,,380,415,Line voltage
71,1,,GEN. 02 - PHASE VOLTAGE,GENERATOR 02,RUN MODE,VIDEO,55_oil_pressure,Check generator 02 phase voltage.,72,0,0,,0,,,DECIMAL,,V,,220,240,Phase voltage
72,1,,GEN. 02 - NOICE INSPECTION,GENERATOR 02,RUN MODE,NONE,,Inspect generator 02 for noises.,73,0,0,,0,,,BOOLEAN,,,,,,Noice inspection
73,1,,GEN. 02 - GENERAL INSPECTION,GENERATOR 02,RUN MODE,NONE,,Inspect generator 02 for general abnormalities like steam or smoke.,74,0,0,,0,,,BOOLEAN,,,,,,General inspection
74,1,,GENERATOR 01 - RUN MODE,GENERATOR 01,RUN MODE,IMAGE,19_generator_01_off_mode,Now you are about to inspect the Generator 01 in run mode. Be sure you are currently placed in front of the Generator 01.,75,1,0,75_generator_01_run_mode,1,85,,NONE,,,,,,
75,1,,GEN. 01 - ERROR MESSAGES,GENERATOR 01,RUN MODE,IMAGE,54_generator_03_error_messages,Check generator 01 for error messages.,76,0,0,,0,,,BOOLEAN,,,,,,Error message
76,1,,GEN. 01 - OIL PRESSURE,GENERATOR 01,RUN MODE,VIDEO,55_oil_pressure,Check generator 01 for oil pressure.,77,0,0,,0,,,DECIMAL,,Pa,,20,80,Oil pressure
77,1,,GEN. 01 - OIL TEMPERATURE,GENERATOR 01,RUN MODE,VIDEO,55_oil_pressure,Check generator 01 for oil temperature.,78,0,0,,0,,,DECIMAL,,C,,160,210,Oil Temperature
78,1,,GEN. 01 - COOLEANT TEMPERATURE,GENERATOR 01,RUN MODE,VIDEO,55_oil_pressure,Check generator 01 for coolant temperature.,79,0,0,,0,,,DECIMAL,,C,,170,210,Coolant Temperature
79,1,,GEN. 01 - FREQUENCY,GENERATOR 01,RUN MODE,VIDEO,55_oil_pressure,Check generator 01 frequency.,80,0,0,,0,,,DECIMAL,,Hz,,49.5,50.5,Frequency
80,1,,GEN. 01 - CURRENT,GENERATOR 01,RUN MODE,VIDEO,55_oil_pressure,Check generator 01 current.,81,0,0,,0,,,DECIMAL,,A,,0,2700,Current
81,1,,GEN. 01 - LINE VOLTAGE,GENERATOR 01,RUN MODE,VIDEO,55_oil_pressure,Check generator 01 line voltage.,82,0,0,,0,,,DECIMAL,,V,,380,415,Line voltage
82,1,,GEN. 01 - PHASE VOLTAGE,GENERATOR 01,RUN MODE,VIDEO,55_oil_pressure,Check generator 01 phase voltage.,83,0,0,,0,,,DECIMAL,,V,,220,240,Phase voltage
83,1,,GEN. 01 - NOICE INSPECTION,GENERATOR 01,RUN MODE,NONE,,Inspect generator 01 for noises.,84,0,0,,0,,,BOOLEAN,,,,,,Noice inspection
84,1,,GEN. 01 - GENERAL INSPECTION,GENERATOR 01,RUN MODE,NONE,,Inspect generator 01 for general abnormalities like steam or smoke.,85,0,0,,0,,,BOOLEAN,,,,,,General inspection
85,1,,SITE  - ATANUATER,GENERAL CHECKUP,SITE INSPECTION,NONE,,Check attenuator front and surround ,86,1,0,86_site_inspection_atanuater,1,89,,BOOLEAN,,,,,,Attenuator
86,1,,SITE  - SEILING,GENERAL CHECKUP,SITE INSPECTION,NONE,,Check ceiling appearance and lights,87,0,0,,0,,,BOOLEAN,,,,,,Ceiling
87,1,,SITE  - FLOOR,GENERAL CHECKUP,SITE INSPECTION,NONE,,Check floor general appearance,88,0,0,,0,,,BOOLEAN,,,,,,Floor
88,1,,SITE  - OIL LINES,GENERAL CHECKUP,SITE INSPECTION,NONE,,Check oil lines general appearance,89,0,0,,0,,,BOOLEAN,,,,,,Oil lines
89,1,,FINISH,GENERAL CHECKUP,SITE INSPECTION,NONE,,Well done. You have finished checking generator room. ,,0,1,,0,,,NONE,,,,,,Finish
